qid,cohort,review_status,primary_label,secondary_label,evidence_note
PLAIN-1496,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about blueberry processing; the one-word food title provides no route to that target.
PLAIN-2321,miss_top_1000,reviewed,source_context_dependency,,All 5 qrels are level 1 indirect-link judgments; the product-style topic title omits the linked soy and IGF context.
PLAIN-1784,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments; the food title does not identify the linked vegetarian and antioxidant evidence.
PLAIN-1887,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 4 qrels are level 1 indirect-link judgments; the broad topic title does not identify the linked cannabis and flavonoid evidence.
PLAIN-395,miss_top_1000,reviewed,vocabulary_or_form_mismatch,source_context_dependency,The direct qrels use piperine and curcumin for pepper and turmeric; the remaining V8 and sodium relation depends on page context.
PLAIN-2386,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 19 qrels are level 1 indirect-link judgments; the broad one-word query cannot identify the linked neurocysticercosis target.
PLAIN-510,miss_top_1000,reviewed,source_context_dependency,,All 6 qrels are level 1 indirect-link judgments; the topic title omits the radiation and airline-pilot concepts used by linked pages.
PLAIN-1827,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 3 qrels are level 1 indirect-link judgments; the place name alone cannot identify the linked drug and red-yeast-rice evidence.
PLAIN-2250,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments; the short topic title does not identify the fish-bone and ciguatera evidence.
PLAIN-3037,miss_top_1000,reviewed,source_context_dependency,,All 4 qrels are direct level 2 papers about dietary nitrate and exercise performance; the opaque video title contains none of those concepts.
PLAIN-2343,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments about milk and cheese microbiology; the vitamin topic title provides no direct retrieval cue.
PLAIN-2408,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,All 5 qrels are level 1 indirect-link judgments about exercise and depression rather than using the antidepressant brand-name query.
PLAIN-603,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment for an antioxidant database; the state name cannot identify that target.
PLAIN-1161,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about arginine and obesity; the food title omits the bridging context.
PLAIN-1119,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 11 qrels are level 1 indirect-link judgments; the broad beverage title does not expose the linked choline and cancer context.
PLAIN-1098,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 5 qrels are level 1 indirect-link judgments; the one-word drink title does not identify the linked nutmeg and tarragon evidence.
PLAIN-2760,miss_top_1000,reviewed,vocabulary_or_form_mismatch,source_context_dependency,The direct level 2 evidence expresses budget and healthy as food cost and nutritive value; the query has no exact match to those terms.
PLAIN-1249,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 4 qrels are level 1 indirect-link judgments; the broad topic title does not identify the linked milk soy and hormone evidence.
PLAIN-1066,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 9 qrels are level 1 indirect-link judgments; a person name alone cannot identify the linked coconut-oil studies.
PLAIN-872,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about aromatase; the mushroom title does not identify that mechanism.
PLAIN-520,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,The only qrel is a level 1 indirect-link judgment about soy protein and body composition rather than the weight-loss brand query.
PLAIN-1309,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 4 qrels are level 1 indirect-link judgments; the fish name does not specify the linked contaminants and domoic-acid evidence.
PLAIN-2364,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 15 qrels are level 1 indirect-link judgments; the broad outcome title cannot identify the linked antidepressant-publication-bias evidence.
PLAIN-478,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about growth-hormone receptor deficiency; the broad title provides no identifying context.
PLAIN-1929,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 10 qrels are level 1 indirect-link judgments; the supplement title does not identify the linked B12-status evidence.
PLAIN-551,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,Both qrels are level 1 indirect-link judgments and use amnesic shellfish poison rather than the noun-form topic title.
PLAIN-2375,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments about kitchen and sushi microbiology; the fish name provides no direct cue.
PLAIN-2134,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,All 12 qrels are level 1 indirect-link judgments and use maltodextrin or bowel-barrier terminology rather than the sweetener brand.
PLAIN-2113,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about folic-acid metabolism while top BM25 documents directly discuss soil.
PLAIN-997,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments; the country name cannot identify the linked flame-retardant and body-odor evidence.
PLAIN-2880,miss_top_1000,reviewed,source_context_dependency,,The direct level 2 papers concern low-fat high-fiber diet exercise and cancer biomarkers; the eponymous video title omits those concepts.
PLAIN-2840,miss_top_1000,reviewed,source_context_dependency,,All 17 qrels are level 1 indirect-link judgments; the video title names fenugreek but the linked evidence spans cinnamon and breast-cancer biology.
PLAIN-1897,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments; the plastic title does not identify the linked beans and bisphenol evidence.
PLAIN-1867,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 7 qrels are level 1 indirect-link judgments; the one-word food title does not identify the linked flavonoid and antioxidant evidence.
PLAIN-1331,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,The only qrel is a level 1 indirect-link judgment about mercury in tuna; the broad sensory topic does not expose that path.
PLAIN-1516,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,Both qrels are level 1 indirect-link judgments and discuss dioxins or flame retardants rather than the pesticide name.
PLAIN-817,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,The only qrel is a level 1 indirect-link judgment and uses recurrent aphthous ulcers rather than the lay term canker sores.
PLAIN-1008,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 5 qrels are level 1 indirect-link judgments about Triphala and heavy metals; the symptom title cannot identify that target.
PLAIN-2950,miss_top_1000,reviewed,source_context_dependency,,The direct level 2 paper concerns foodborne pathogen burden; the punning video title omits pathogens and disease.
PLAIN-782,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,Both qrels are level 1 indirect-link judgments about beans and bisphenol while the top BM25 result directly matches the administration query.
PLAIN-358,miss_top_1000,reviewed,source_context_dependency,,All 3 qrels are level 1 indirect-link judgments; the question page reaches related cardiovascular evidence through another query rather than a direct citation.
PLAIN-3014,miss_top_1000,reviewed,source_context_dependency,,The only direct level 2 paper studies cooked versus raw broccoli sulforaphane; the opaque video title omits both retrieval concepts.
PLAIN-1621,miss_top_1000,reviewed,source_context_dependency,vocabulary_or_form_mismatch,All 4 qrels are level 1 indirect-link judgments about foods and serum lipids rather than the statin brand-name query.
PLAIN-2271,miss_top_1000,reviewed,source_context_dependency,underspecified_or_ambiguous_query,All 10 qrels are level 1 indirect-link judgments; an institution name alone cannot identify the linked diet and disease studies.
PLAIN-457,miss_top_1000,reviewed,underspecified_or_ambiguous_query,source_context_dependency,The broad meta-scientific question supplies no disease or intervention clue while its direct level 2 evidence is a specific linked study.
